study_id,unnamed_1,publication_year,title,journal,doi_source_url,study_type_7,include_exclude_r1,population,cancer_type,disease_stage,cancer_subtype,data_source_database,sample_source,sequecing_type,library_prep,sequencing_platform,reference_genome,dna_alignment_tool,rna_alignment_transcript_tool,variant_caller,variant_filtering_vaf_threshold,variant_annotation,mutation_type,consequence_focus,expression_validation,hla_typing_done,hla_typing_tools,neoantigen_prediction_done,neoantigen_prediction_tool,class_i_epitope_prediction,epitope_length,binding_affinity_threshold,class_ii_prediction_done,class_ii_epitope_prediction,class_ii_length_threshold,neonatigen_identified,immunogenicity,experimental_validation_of_immunogenicity,clonality_estimation,other_immune_analyses_and_sub_analysis,study_label,Sequencing,Variant_Calling,Variant_Annotation,HLA_Typing,Epitope_Prediction,Prediction_Threshold,Experimental_Validation,Clonality_Estimation
S01,"Hellmann et al., 2018",2018,Genomic Features of Response to Combination Immunotherapy in Patients with Advanced Non-Small-Cell Lung Cancer,Cancer Cell,https://doi.org/10.1016/j.ccell.2018.03.018,Research,Yes,Human,NSCLC,"IIIB, IV","Adenocarcinoma, Squamous Cell Carcinoma",Primary,Tumor-Normal,WES,Agilent Sure-Select Human All Exon v2.0/v4.0; Illumina Rapid Capture Exome,Illumina,hg19,BWA,not_done / not_stated,MuTect v1.1.6 ;Indelocator,0.05 / Default exclude-variant allelic fraction < 0.05,Ensembl Variant Effect Predictor(VEP) ; Varcode v 0.5.15; PyEnsembl vv. 1.0.3,"SNV, Indel",Missense,Not reported,Yes,OptiType,Yes,Topiary (https://github.com/hammerlab/topiary/),NetMHCcons v1.1,8-11 mer,IC50 ≤500 nM to one or more patient HLA alleles / ≤500 nM / 500 nM / 50 nM,No,Not reported,Not reported,yes,No,Not reported,No,TMB associated with efficacy / Multivariable analysis performed,"Hellmann et al., 2018",1,1,1,1,1,1,0,0
S02,"Turajlic et al., 2017",2017,Insertion-and-deletion-derived tumour-specific neoantigens and the immunogenic phenotype: a pan-cancer analysis,The Lancet Oncology,https://doi.org/10.1016/S1470-2045(17)30516-8,Research,Yes,Human,Mixed,Not reported,"Adenocarcinoma, Squamous Cell Carcinoma",Secondary; TCGA + independent validation cohorts,Tumor-Normal,WES+RNAseq,Not reported,Not reported,hg19,BWA,not_done / not_stated,"Mutect 1.1.4, Varscan2 v 2.3.6,Strelka",PASS variants and high-confidence filters / Minimum tumor RNA VAF 10% for pVAC-Seq / minimum germline coverage 10; min variant frequency 0.01–0.02; somatic p-value <5×10−4; Phred score ≥20; mapping quality ≥20,bam-readcount v0.5.1; GATK v2.8.1; SAMtools v0.1.19,"SNV, frameshift indels","Frameshift, in-frame indel, non-synonymous SNV",RNAseq / TCGA RNAseq expression data used but on renal clear cell carcinoma subset (n=392) only,Yes,POLYSOLVER,Yes,NetMHCpan v2.4,NetMHCpan v2.4,9-10 mer,Mutant peptide IC50 <50 nM and wild-type peptide >50 / <50 nM / IC50 <50,No,Not reported,Not reported,Yes,Yes,Neoantigen binding affinity enrichment analysis,yes,"Immune gene signature analysis performed / CD8-positive T-cell signatures analyzed / MHC class I presentation, cytolytic activity, CD8 T-cell activation, interferon response / Melanoma, RCC, NSCLC, breast cancer, MSI tumors analyzed separately","Turajlic et al., 2017",1,1,1,1,1,1,1,1
S03,"Lau et al., 2022",2022,The Neoantigen Landscape of the Coding and Noncoding Cancer Genome Space,The Journal of Molecular Diagnostics,https://doi.org/10.1016/j.jmoldx.2022.02.004,Research,Yes,Human,Mixed,IV,unspecified,Secondary; Personalized OncoGenomic Program; EGA study EGAS00001001159; GTEx used for healthy tissue filtering,Tumor-Normal,WES + RNAseq,Not reported,Not reported,hg19,BWA v0.57,"JAGuaR v2.03, Bowtie v2.3.5 for intronic analysis / Cufflinks v2.2.1 / RSEM",Strelka v 1.06,GTEx healthy tissue expression filtering; retained introns required ≥3 uniquely mapped reads and TPM ≥1; intergenic transcripts required FPKM ≥5 / a minimum tumor RNA variant allele frequencies of 10%. / Somatic SNVs and small indels called from WGS; exonic/intronic/intergenic TMB calculated by genomic region size,Ensembl Variant Effect Predictor(VEP),"SNV, small Indel","Missense SNVs, small indels, retained introns, and intergenic transcript-derived neoantigens",RNAseq / Tumor RNA-seq used; gene expression quantified by RSEM; FPKM added to somatic variant call,yes,seq2HLA v2.2,Yes,pVAC-Seq_pVACtools v 1.5.14,"NetMHCpan, MHCflurry, MHCnuggets I",8-11 mer,fold-change mutant/wild-type binding affinity = 1; filter-passing variants only; tumor RNA VAF ≥10%; strong binders ≤500 nmol/L / ≤500 nmol/L / ≤500 nM,No,Not reported,Not reported,yes,No,Not reported,No,"Lung, breast, gastrointestinal, melanoma, and sarcoma immunotherapy cohorts analyzed; NSCLC/lung subgroup included but not NSCLC-only","Lau et al., 2022",1,1,1,1,1,1,1,0
S04,"Kahles et al., 2018",2018,"Comprehensive Analysis of Alternative Splicing Across Tumors from 8,705 Patients",Cancer Cell,https://doi.org/10.1016/j.ccell.2018.07.001,Research,Yes,Human,Mixed,Not reported,"Adenocarcinoma, Squamous Cell Carcinoma","Secondary; TCGA, GTEx, CPTAC, MC3",Tumor-Normal,WES + RNAseq,Not reported,Not reported,hg19,MC3 tumor variant pipeline,STAR / Individual splicing graph reconstruction workflow / SplAdder toolkit; STAR-aligned RNA-seq,HaplotypeCaller +MC3 somatic variant calls,GTEx normal tissue filtering; RNA-seq-supported neojunction filtering / SNV-derived peptide expression estimated using somatic variant allele fraction / Variants associated with mutational burden (nominal p <0.01) excluded from trans-sQTL analysis; PSI-based splicing quantification.,COSMIC cancer census genes; GENCODE v19 annotations,"SNV, neojunctions, alternative splicing events",Tumor-specific neojunction-derived peptides and putative neoepitopes,RNAseq and CPTAC mass spectrometry confirmation and / yes TCGA RNA-seq expression profiling and PSI splicing quantification performe,Yes,POLYSOLVER,Yes,NetMHC v4.0,NetMHC-4.0,9 mer,CPTAC-confirmed peptide + predicted MHC-I binder + patient-specific HLA type + tumor-specific neojunctionBinding_affinity_of_neoantigen_to_HLA1: Percentile rank <2.0 / Predicted MHC-I binders defined as peptides with NetMHC percentile rank <2.0 using patient-specific HLA-I alleles / Percentile rank <2.0,No,Not reported,Not reported,yes,Yes,MHC-I binding prediction workflow,Not reported,MHC-I presentation and alternative splicing-derived neoepitopes / LUAD vs LUSC; BRCA subtypes; pan-cancer clustering; cancer-specific splicing patterns,"Kahles et al., 2018",1,1,1,1,1,1,1,0
S05,"Hanada et al., 2022",2022,A phenotypic signature that identifies neoantigen-reactive T cells in fresh human lung cancers,Cancer Cell,https://doi.org/10.1016/j.ccell.2022.03.012,Research,Yes,Human,NSCLC,Not reported,Not reported,Primary,"Fresh NSCLC tumor digests, TIL, peripheral blood mononuclear cells",WES + RNA-seq +scRNA-seq+ CITE-seq+ TCR-seq+ scVDJ-seq,10X Genomics Chromium single-cell libraries; SmartSeq2 for TCR cloning,10X Genomics Chromium controller,hg19,novoalign MPI,Cell Ranger / not_statted / Partek Flow; Seurat,"Mutect, Varscan2, SomaticSniper, Strelka",Outlier filtering by mitochondrial counts/features / (VAF) of 7% or above / FDR≤0.01 and Fold²≥4 for differential expression,ANNOVAR,"SNV, Indel",Missense and Neoantigen generation,"RNAseq, IFNγ ELISPOT and IFNγ ELISA / yes",Yes,OptiType / HLA typing reported in methods,Yes,Mutation-derived peptide screening pipeline; Varcode/OptiType-based workflow reported,Custom predicted epitope peptide screening,minimal determinant peptides,Recognition by IFNγ secretion/reactivity assays / not_stated / not_stated,Yes,Not reported,25 mer / not_stated,yes,Yes,Yes IFNγ ELISPOT / ELISA,TCR frequency analysis using productive TCRβ,CD4/CD8/Treg fractions analyzed / Exhausted T-cell phenotype; CXCL13/PDCD1/TIGIT/BATF associated / CD4+ vs CD8+ neoantigen-reactive T cells,"Hanada et al., 2022",1,1,1,1,1,1,1,1
S06,"Karasaki et al., 2016",2016,Identification of Individual Cancer-Specific Somatic Mutations for Neoantigen-Based Immunotherapy of Lung Cancer,Journal of Thoracic Oncology,https://doi.org/10.1016/j.jtho.2015.11.006,Research,Yes,Human,NSCLC,"I, II, III, IV","Adenocarcinoma, Squamous Cell Carcinoma",Primary; COSMIC v73 used for shared mutation identification,"Tumor-Normal, blood",WES,SureSelect XT Kit + SureSelect Human All Exon V5,Illumina,hg19,BWA,not_done / not_done / na,"Varscan2 v2.3.7 , Mutect v1.1.7",na / not_stated / not_stated,COSMIC,SNV,Missense,Not done / no,Yes,Omixon Target HLA Typing,Yes,NetMHCpan 2.8 (IEDB resource),NetMHCpan 2.8,8-11 mer,IC50 <500 nM / IC50 <500 nM / IC50 <500 nM,No,Not reported,Not reported,yes,No,No NA,Not reported,Adenocarcinoma vs Squamous Cell Carcinoma,"Karasaki et al., 2016",1,1,1,1,1,1,1,0
S07,"Palomero et al., 2025",2025,Preclinical data and design of a phase I clinical trial of neoantigen-reactive TILs for advanced epithelial or ICB-resistant solid cancers,Immuno-Oncology and Technology,https://doi.org/10.1016/j.iotech.2024.101030,Research,Yes,Human,NSCLC,"I, II, III, IV","Squamous Cell Carcinoma, Adenocarcinoma",Both,"Tumor-Normal, PBMCs, blood",WES + RNA-Seq,SureSelect Human All Exon V6 Kit (WES); Illumina TruSeq RNA Library Prep Kit (RNA-Seq),llumina,hg19,BWA,STAR / not_stated / featureCounts,"VarScan2, Strelka2,SomaticSniper and Mutect2","GATK4 / >7% threshold / ≥10 reads coverage, ≥4 variant reads, >7% VAF, called by ≥2 callers for SNVs",VEP,"SNV, Indel",Non-synonymous,Not done / yes,Yes,OptiType,Yes,MHCflurry,MHCflurry,8- to 11-mer(and 21-mers for long peptides),Binding affinity + tumor expression / IC50 <500 nM / Used for prioritization; exact cutoff not reported,No,Not reported,Not reported,yes,Yes,"IFN-γ ELISPOT, 4-1BB/OX40 activation",planned,muliple tumor types anlyses,"Palomero et al., 2025",1,1,1,1,1,1,1,1
S08,"Xu et al., 2024",2024,Circulating tumor DNA-based stratification strategy for chemotherapy plus PD-1 inhibitor in advanced non-small-cell lung cancer,Cancer Cell,https://doi.org/10.1016/j.ccell.2024.08.013,Research,Yes,Human,NSCLC,"III, IV","Squamous Cell Carcinoma, Adenocarcinoma",Primary,"ctDNA, cfDNA, Tumor-Normal",Deep targeted sequencing + WES + Low-pass WGS,OncoCompass Plus Target Cancer Mutation Profiling Liquid Kit,"llumina, OncoCompass Plus 520-gene panel; LPWGS platform not specified",hg19,BWA,Not reported,"Varscan2 v2.4.3, VarDict v1.5.1, GATKv3.2",not_stated / not_stated,"ANNOVAR, snpEff","SNV, Indel",Not reported,Not reported,Yes,PolySolver (v5.26.2) — used to predict HLA genotypes from WES DNA-seq BAM files,Yes,NetMHC v4.0,NetMHC v4.0,9-mer peptides,Strong binders: MT affinity < 500 nM AND MT rank < 0.5; Weak binders: MT affinity < 500 nM AND MT rank < 2.0. Patient harmonic-mean best rank (PHBR) score also used (harmonic mean of lowest rank across 6 HLA alleles),No,Not reported,Not reported,yes,Yes,Yes,Not reported,Not reported,"Xu et al., 2024",1,1,1,1,1,1,0,0
S09,"Kim et al., 2020",2020,Earlier-Phased Cancer Immunity Cycle Strongly Influences Cancer Immunity in Operable Never-Smoker Lung Adenocarcinoma,iScience,https://doi.org/10.1016/j.isci.2020.101386,Research,Yes,Human,NSCLC,"I, II, IIIA",Adenocarcinoma,Primary + secondary,"Tumor-Normal, blood",WES + RNAseq,mRNA sequencing libraries were prepared according to the manufacturer’s instructions using the Illumina Truseq RNA Prep kit v2. The quality of the amplified libraries was verified using an Agilent Bioanalyzer 2100,Illumina,hg19,BWA,Not reported,Mutect,Not reported,ANNOVAR,"SNV, Indel","Missense, Other",RNAseq,Yes,seq2HLA from RNA-seq data,Not reported,MuPeXI v1.1.3,MuPeXI / NetMHCpan-based binding prediction,8 to 11 mer,half maximal inhibitory concentration (IC50) value ≤ 500 nM,NO,Not reported,Not reported,yes,yes,yes,Not reported,ESTIMATE. / CIBERSORT / mclust / Gaussian mixture model,"Kim et al., 2020",1,1,1,1,1,1,1,0
S10,"Caushi et al., 2021",2021,Transcriptional programs of neoantigen-specific TIL in anti-PD-1-treated lung cancers,Nature,10.1038/s41586-021-03752-4,Research,Yes,Human,NSCLC,"I, II, III",Not reported,Primary,"Tumor tissue, adjacent normal lung, tumor-draining lymph nodes, peripheral blood",scRNA + TCR +WES,Illumina TruSeq library construction for WES; 10x Genomics Single Cell 5′ V(D)J and 5′ DGE kits for scRNA-seq/TCR-seq,Illumina,hg38,Not reported,not_stated / not_stated / 10x Genomics single-cell expression pipeline; exact tool NR,VariantDx,Low-quality cells were filtered if the number of detected genes was below 250 or above 3× the median absolute deviation away from the median gene number of all cells. / not_stated / not_stated,Not reported,"SNV, Indel, `Frameshift","Missense, Nonsense, Nonsynonymous mutations",scRNA-seq / yes,Yes,Not reported,Yes,ImmunoSelect-R pipeline,ImmunoSelect-R pipeline,Not reported,"Putative MHC-I neoantigens from nonsynonymous somatic mutations; functional T-cell reactivity by MANAFEST / IC50 <500 nM, Measured for selected peptides; Kd 5.1 nM and 17.5 nM reported / 5.1 nM and 17.5 nM",No,Not reported,Not reported,yes,Yes,"MANAFEST, TCR cloning, Jurkat NFAT-luciferase assay, peptide-HLA binding assay",TCR clonotype tracking,"Immune/T-cell states characterized by scRNA-seq / CD8 T-cell clusters and TRM subsets / Exhaustion, checkpoint, tissue-resident memory, effector/cytolytic programs / MPR vs non-MPR; MANA-specific vs EBV-specific vs influenza-specific TIL","Caushi et al., 2021",1,1,0,1,1,1,1,1
